Date: 20.2.2020 , In use by: Mena
Daytime: 11:49:15, Temperature: 25°C
ID, strain4A, strain4B, loadcell x, temp [°C], runtime [ms]
BASELINE Time: 11:49:23
44, 1779384.00, 9688316.00, 8492545.00,25, 4393
45, 1779349.00, 9688367.00, 8492518.00,25, 4497
46, 1779299.00, 9688310.00, 8492465.00,25, 4602
47, 1779297.00, 9688040.00, 8492403.00,25, 4706
48, 1779265.00, 9688020.00, 8492517.00,25, 4811
49, 1779130.00, 9688037.00, 8492277.00,25, 4916
50, 1779064.00, 9687903.00, 8492585.00,25, 5020
51, 1779032.00, 9687844.00, 8492765.00,25, 5125
52, 1778965.00, 9687819.00, 8492816.00,25, 5229
53, 1778924.00, 9687640.00, 8492727.00,25, 5334
54, 1778887.00, 9687690.00, 8492910.00,25, 5438
55, 1778850.00, 9687590.00, 8492704.00,25, 5543
56, 1778679.00, 9687620.00, 8492593.00,25, 5648
57, 1778631.00, 9687524.00, 8492874.00,25, 5752
58, 1778636.00, 9687455.00, 8492823.00,25, 5857
59, 1778601.00, 9687370.00, 8492554.00,25, 5961
60, 1778448.00, 9687331.00, 8492518.00,25, 6066
61, 1778393.00, 9687288.00, 8492642.00,25, 6171
62, 1778425.00, 9687161.00, 8492677.00,25, 6275
63, 1778357.00, 9687123.00, 8492758.00,25, 6380
64, 1778275.00, 9687085.00, 8492621.00,25, 6484
65, 1778196.00, 9686957.00, 8492407.00,25, 6589
66, 1778174.00, 9686926.00, 8492544.00,25, 6694
67, 1778106.00, 9686927.00, 8492656.00,25, 6798
68, 1778000.00, 9686865.00, 8492424.00,25, 6903
69, 1777962.00, 9686775.00, 8492539.00,25, 7007
70, 1777965.00, 9686758.00, 8492812.00,25, 7112
71, 1777872.00, 9686689.00, 8492498.00,25, 7217
72, 1777796.00, 9686632.00, 8492474.00,25, 7321
73, 1777696.00, 9686481.00, 8492472.00,25, 7426
74, 1777623.00, 9686377.00, 8492597.00,25, 7530
75, 1777578.00, 9686365.00, 8492761.00,25, 7635
76, 1777472.00, 9686354.00, 8492909.00,25, 7740
77, 1777390.00, 9686266.00, 8492498.00,25, 7844
78, 1777339.00, 9686167.00, 8492557.00,25, 7949
79, 1777277.00, 9686161.00, 8492486.00,25, 8053
80, 1777290.00, 9686080.00, 8492770.00,25, 8158
81, 1777176.00, 9685948.00, 8492781.00,25, 8263
82, 1777040.00, 9685866.00, 8492782.00,25, 8367
83, 1776968.00, 9685844.00, 8492972.00,25, 8472
84, 1776935.00, 9685778.00, 8492548.00,25, 8576
85, 1776875.00, 9685641.00, 8492587.00,25, 8681
86, 1776802.00, 9685638.00, 8492635.00,25, 8786
87, 1776727.00, 9685582.00, 8492886.00,25, 8890
88, 1776722.00, 9685504.00, 8493001.00,25, 8995
89, 1776670.00, 9685418.00, 8492930.00,25, 9099
90, 1776544.00, 9685403.00, 8492896.00,25, 9204
91, 1776436.00, 9685328.00, 8493051.00,25, 9309
92, 1776354.00, 9685256.00, 8493245.00,25, 9413
93, 1776253.00, 9685160.00, 8493421.00,25, 9518
94, 1775990.00, 9685343.00, 8494376.00,25, 9622
95, 1775682.00, 9685539.00, 8495275.00,25, 9727
96, 1775484.00, 9685686.00, 8495991.00,25, 9832
