Date: 28.2.2020 , In use by: Mena
Daytime: 14:57:43, Temperature: 13°C
ID, strain1, strain2, strain3, temp [°C], runtime [ms]
BASELINE Time: 14:58:44
319, 0.00, 0.00, 7947566.00, 13, 32900
320, 0.00, 0.00, 7948080.00, 13, 33004
321, 0.00, 0.00, 7948438.00, 13, 33108
322, 0.00, 0.00, 7948703.00, 13, 33211
323, 0.00, 0.00, 7949413.00, 13, 33315
324, 0.00, 0.00, 7949843.00, 13, 33419
325, 0.00, 0.00, 7950219.00, 13, 33523
326, 0.00, 0.00, 7950481.00, 13, 33627
327, 0.00, 0.00, 7950914.00, 13, 33730
328, 0.00, 0.00, 7951328.00, 13, 33834
329, 0.00, 0.00, 7951667.00, 13, 33938
330, 0.00, 0.00, 7951960.00, 13, 34042
331, 0.00, 0.00, 7952195.00, 13, 34145
332, 0.00, 0.00, 7952452.00, 13, 34249
333, 0.00, 0.00, 7952607.00, 13, 34353
334, 0.00, 0.00, 7953261.00, 13, 34457
335, 0.00, 0.00, 7953583.00, 13, 34561
336, 0.00, 0.00, 7953817.00, 13, 34664
337, 0.00, 0.00, 7954100.00, 13, 34768
338, 0.00, 0.00, 7954302.00, 13, 34872
339, 0.00, 0.00, 7954328.00, 13, 34976
340, 0.00, 0.00, 7954430.00, 13, 35079
341, 0.00, 0.00, 7954387.00, 13, 35183
342, 0.00, 0.00, 7951752.00, 13, 35287
343, 0.00, 0.00, 7945119.00, 13, 35391
344, 0.00, 0.00, 7938172.00, 13, 35495
345, 0.00, 0.00, 7931745.00, 13, 35598
346, 0.00, 0.00, 7919989.00, 13, 35702
347, 0.00, 0.00, 7914506.00, 13, 35806
348, 0.00, 0.00, 7909220.00, 13, 35910
349, 0.00, 0.00, 7904130.00, 13, 36014
350, 0.00, 0.00, 7899248.00, 13, 36117
351, 0.00, 0.00, 7894491.00, 13, 36221
352, 0.00, 0.00, 7889860.00, 13, 36325
353, 0.00, 0.00, 7885406.00, 13, 36429
354, 0.00, 0.00, 7881045.00, 13, 36532
355, 0.00, 0.00, 7876768.00, 13, 36636
356, 0.00, 0.00, 7872741.00, 13, 36740
357, 0.00, 0.00, 7868941.00, 13, 36844
358, 0.00, 0.00, 7862421.00, 13, 36948
359, 0.00, 0.00, 7859598.00, 13, 37051
360, 0.00, 0.00, 7857055.00, 13, 37155
361, 0.00, 0.00, 7854637.00, 13, 37259
362, 0.00, 0.00, 7852537.00, 13, 37363
363, 0.00, 0.00, 7850590.00, 13, 37466
364, 0.00, 0.00, 7848815.00, 13, 37570
365, 0.00, 0.00, 7847200.00, 13, 37674
366, 0.00, 0.00, 7845772.00, 13, 37778
367, 0.00, 0.00, 7844344.00, 13, 37882
368, 0.00, 0.00, 7842980.00, 13, 37985
369, 0.00, 0.00, 7840880.00, 13, 38089
370, 0.00, 0.00, 7839807.00, 13, 38193
371, 0.00, 0.00, 7838602.00, 13, 38297
372, 0.00, 0.00, 7837641.00, 13, 38401
