Date: 27.3.2020 , In use by: Mena
Daytime: 10:59:44, Temperature: 25°C
ID, strain1, strain2, strain3, strain4, strain5, strain6, temp [°C], runtime [ms]
BASELINE Time: 10:59:49
151, 6704086.00, 6219345.00, 8398038.00, 5638650.00, 7949952.00, 16777215.00, 25, 42018
152, 6108259.00, 6217375.00, 8397752.00, 5640043.00, 7959931.00, 16777215.00, 25, 42381
153, 6371949.00, 6254434.00, 8398159.00, 5638548.00, 7954100.00, 16777215.00, 25, 42653
154, 7232120.00, 6272276.00, 8398055.00, 5628754.00, 7934140.00, 16777215.00, 25, 43017
155, 7240905.00, 6286535.00, 8398013.00, 5625188.00, 7936790.00, 16777215.00, 25, 43289
156, 7325987.00, 6283867.00, 8398052.00, 5616377.00, 7933005.00, 16777215.00, 25, 43652
157, 7386740.00, 6285336.00, 8398000.00, 5616551.00, 7931930.00, 16777215.00, 25, 44015
158, 7446864.00, 6288073.00, 8398342.00, 5619025.00, 7941274.00, 16777215.00, 25, 44378
159, 7445407.00, 6291141.00, 8398041.00, 5626665.00, 7942216.00, 16777215.00, 25, 44742
160, 7397485.00, 6284771.00, 8398027.00, 5612598.00, 7926246.00, 16777215.00, 25, 45105
161, 7313077.00, 6281858.00, 8397875.00, 5609321.00, 7919689.00, 16777215.00, 25, 45468
162, 7296482.00, 6284171.00, 8397904.00, 5617887.00, 7925518.00, 16777215.00, 25, 45740
163, 7301156.00, 6279571.00, 8398057.00, 5605854.00, 7915870.00, 16777215.00, 25, 46012
164, 7294434.00, 6282097.00, 8397927.00, 5629651.00, 7923719.00, 16777215.00, 25, 46285
165, 7255665.00, 6276220.00, 8398041.00, 5614767.00, 7896061.00, 16777215.00, 25, 46557
166, 7234995.00, 6272397.00, 8397876.00, 5618936.00, 7910308.00, 16777215.00, 25, 46829
167, 7183751.00, 6272627.00, 8397993.00, 5617981.00, 7901114.00, 16777215.00, 25, 47192
168, 7164966.00, 6270457.00, 8398015.00, 5615678.00, 7902053.00, 16777215.00, 25, 47464
169, 7138102.00, 6271649.00, 8397974.00, 5625343.00, 7912155.00, 16777215.00, 25, 47827
170, 7135416.00, 6271010.00, 8398069.00, 5623888.00, 7915974.00, 16777215.00, 25, 48100
171, 7131582.00, 6270670.00, 8398001.00, 5622494.00, 7911261.00, 16777215.00, 25, 48281
172, 7107412.00, 6268213.00, 8397834.00, 5616650.00, 7905031.00, 16777215.00, 25, 48553
173, 7115047.00, 6267039.00, 8398023.00, 13025279.00, 7905513.00, 16777215.00, 25, 48826
174, 7123340.00, 6266429.00, 8398022.00, 5611580.00, 7908352.00, 16777215.00, 25, 48916
175, 7134557.00, 6269721.00, 8397964.00, 5617347.00, 7917280.00, 16777215.00, 25, 49189
BASELINE Time: 11:0:39
RECORDING Time: 11:0:41
1, 7087242.00, 6264064.00, 8398024.00, 5610996.00, 7912728.00, 16777215.00, 25, 0
2, 7069685.00, 6262585.00, 8398027.00, 5610057.00, 7912806.00, 16777215.00, 25, 0
3, 7063525.00, 6262377.00, 8397981.00, 5611478.00, 7916129.00, 16777215.00, 25, 363
4, 7068441.00, 6262966.00, 8398040.00, 5607716.00, 7909682.00, 16777215.00, 25, 545
5, 7073513.00, 6260513.00, 8398102.00, 5601603.00, 7891219.00, 16777215.00, 25, 726
6, 7073454.00, 6264915.00, 8398033.00, 5631117.00, 7865304.00, 16777215.00, 25, 998
7, 7076435.00, 6283209.00, 8398070.00, 5669266.00, 7862657.00, 16777215.00, 25, 1271
8, 7072570.00, 6292232.00, 8397996.00, 5684752.00, 7859585.00, 16777215.00, 25, 1362
9, 7067200.00, 6311585.00, 8397965.00, 5699548.00, 7872803.00, 16777215.00, 25, 1543
10, 7059539.00, 6311345.00, 8397997.00, 5695763.00, 7881290.00, 16777215.00, 25, 1725
11, 7048293.00, 6297119.00, 8398032.00, 5684406.00, 7879309.00, 16777215.00, 25, 1906
12, 7022356.00, 6292500.00, 8397906.00, 5706493.00, 7869427.00, 16777215.00, 25, 2269
13, 7017419.00, 6290776.00, 8398026.00, 5700708.00, 7873683.00, 16777215.00, 25, 2542
14, 7019110.00, 6285705.00, 8397901.00, 5714300.00, 7882151.00, 16777215.00, 25, 2905
15, 7008425.00, 6283362.00, 8398020.00, 5718764.00, 7907233.00, 16777215.00, 25, 3268
16, 6995726.00, 6265630.00, 8397941.00, 5679765.00, 7902500.00, 16777215.00, 25, 3722
17, 6986655.00, 6265878.00, 8398008.00, 5686410.00, 7916975.00, 16777215.00, 25, 3994
18, 6978655.00, 6258419.00, 8397976.00, 5685436.00, 7933048.00, 16777215.00, 25, 4266
19, 6978030.00, 6256331.00, 8397979.00, 5683143.00, 7914698.00, 16777215.00, 25, 4539
20, 6978619.00, 6256431.00, 8397977.00, 5690178.00, 7919597.00, 16777215.00, 25, 4720
21, 6977998.00, 6255377.00, 8398006.00, 5684636.00, 7922197.00, 16777215.00, 25, 4992
22, 6970373.00, 6256246.00, 8397994.00, 5690179.00, 7922118.00, 16777215.00, 25, 5265
23, 6962845.00, 6254874.00, 8397936.00, 5690692.00, 7921167.00, 16777215.00, 25, 5537
24, 6959432.00, 6252341.00, 8398002.00, 5687726.00, 7923842.00, 16777215.00, 25, 5809
25, 6955574.00, 6251821.00, 8397980.00, 5687428.00, 7921928.00, 16777215.00, 25, 6082
26, 6950422.00, 6251011.00, 8397997.00, 5687127.00, 7919246.00, 16777215.00, 25, 6445
27, 6948893.00, 6250039.00, 8398056.00, 5688055.00, 7916833.00, 16777215.00, 25, 6717
28, 6950077.00, 6249232.00, 8398000.00, 5685154.00, 7914880.00, 16777215.00, 25, 7080
29, 6945674.00, 6248412.00, 8397966.00, 5682459.00, 7921438.00, 16777215.00, 25, 7353
30, 6937729.00, 6247354.00, 8398010.00, 5677511.00, 7917995.00, 16777215.00, 25, 7716
31, 6929160.00, 6246270.00, 8397971.00, 5676383.00, 7920515.00, 16777215.00, 25, 7988
32, 6922285.00, 6246744.00, 8398017.00, 5676565.00, 7922561.00, 16777215.00, 25, 8170
33, 6912172.00, 6246208.00, 8397913.00, 5677154.00, 7928719.00, 16777215.00, 25, 8442
34, 6901249.00, 6247142.00, 8397833.00, 5677572.00, 7930593.00, 16777215.00, 25, 8714
35, 6895877.00, 6246331.00, 8398052.00, 5671390.00, 7926316.00, 16777215.00, 25, 8896
RECORDING Time: 11:0:50
BASELINE Time: 11:1:7
1, 6761719.00, 6222990.00, 8397928.00, 5654081.00, 7908992.00, 16777215.00, 25, 0
2, 6760710.00, 6223137.00, 8397987.00, 5652988.00, 7904990.00, 16777215.00, 25, 0
3, 6759335.00, 6223137.00, 8398085.00, 5655571.00, 7906447.00, 16777215.00, 25, 182
4, 6758431.00, 6223461.00, 8397957.00, 5654832.00, 7908633.00, 16777215.00, 25, 454
5, 6757767.00, 6222829.00, 8398071.00, 5652873.00, 7900996.00, 16777215.00, 25, 817
6, 6756311.00, 6221812.00, 8398044.00, 5654305.00, 7896835.00, 16777215.00, 25, 1090
7, 6754290.00, 6222447.00, 8397891.00, 5654298.00, 7877578.00, 16777215.00, 25, 1453
8, 6753374.00, 6220642.00, 8397935.00, 5664263.00, 7887642.00, 16777215.00, 25, 1816
9, 6751593.00, 6221164.00, 8398000.00, 5654241.00, 7888182.00, 16777215.00, 25, 2179
10, 6761381.00, 6243080.00, 8397965.00, 5683313.00, 7883741.00, 16777215.00, 25, 2542
11, 6773273.00, 6306440.00, 8397933.00, 5763057.00, 7887030.00, 16777215.00, 25, 2815
12, 6782859.00, 6305455.00, 8397978.00, 5766296.00, 7901332.00, 16777215.00, 25, 3087
13, 6781486.00, 6297449.00, 8397938.00, 5763814.00, 7900083.00, 16777215.00, 25, 3450
14, 6771413.00, 6288016.00, 8397950.00, 5768891.00, 7903415.00, 16777215.00, 25, 3723
15, 6767379.00, 6282311.00, 8398039.00, 5781671.00, 7908626.00, 16777215.00, 25, 3995
16, 6763915.00, 6283039.00, 8397922.00, 5777450.00, 7906899.00, 16777215.00, 25, 4358
17, 6764527.00, 6283736.00, 8397932.00, 5777471.00, 7905010.00, 16777215.00, 25, 4631
18, 6761307.00, 6282608.00, 8397986.00, 5772170.00, 7904279.00, 16777215.00, 25, 4994
19, 6758756.00, 6285101.00, 8397967.00, 5768045.00, 7913021.00, 16777215.00, 25, 5176
20, 6760946.00, 6291096.00, 8397952.00, 5770647.00, 7911702.00, 16777215.00, 25, 5357
21, 6769004.00, 6308255.00, 8397927.00, 5775179.00, 7900586.00, 16777215.00, 25, 5629
22, 6751830.00, 6290803.00, 8398035.00, 5762032.00, 7891433.00, 16777215.00, 25, 5902
23, 6733661.00, 6267800.00, 8397963.00, 5713421.00, 7881420.00, 16777215.00, 25, 6174
24, 6730316.00, 6237730.00, 8397992.00, 5674960.00, 7886729.00, 16777215.00, 25, 6537
25, 6714654.00, 6220683.00, 8397996.00, 5685408.00, 7880178.00, 16777215.00, 25, 6901
26, 6712801.00, 6225217.00, 8397929.00, 5676688.00, 7904407.00, 16777215.00, 25, 7173
27, 6712539.00, 6229828.00, 8397903.00, 5682802.00, 7908639.00, 16777215.00, 25, 7446
28, 6711654.00, 6230560.00, 8397927.00, 5678315.00, 7914823.00, 16777215.00, 25, 7627
29, 6710692.00, 6231456.00, 8398043.00, 5685203.00, 7917934.00, 16777215.00, 25, 7809
30, 6711484.00, 6234121.00, 8398034.00, 5682722.00, 7918164.00, 16777215.00, 25, 7990
31, 6707961.00, 6230370.00, 8397852.00, 5677089.00, 7906606.00, 16777215.00, 25, 8263
BASELINE Time: 11:1:16
RECORDING Time: 11:1:17
1, 6696669.00, 6229280.00, 8398000.00, 5679762.00, 7907343.00, 16777215.00, 25, 0
2, 6695400.00, 6229406.00, 8398016.00, 5683438.00, 7900994.00, 16777215.00, 25, 0
3, 6694815.00, 6229982.00, 8397914.00, 5685527.00, 7901570.00, 16777215.00, 25, 272
4, 6694121.00, 6228949.00, 8397989.00, 5683267.00, 7905833.00, 16777215.00, 25, 545
5, 6694130.00, 6229113.00, 8398010.00, 5679454.00, 7907010.00, 16777215.00, 25, 727
6, 6693001.00, 6227362.00, 8398000.00, 5675926.00, 7911753.00, 16777215.00, 25, 908
7, 6693045.00, 6226725.00, 8397984.00, 5667723.00, 7918715.00, 16777215.00, 25, 1090
8, 6694447.00, 6230350.00, 8398112.00, 5670320.00, 7903596.00, 16777215.00, 25, 1271
9, 6695774.00, 6231517.00, 8398115.00, 5677910.00, 7884012.00, 16777215.00, 25, 1453
10, 6705479.00, 6263169.00, 8398072.00, 5749392.00, 7882957.00, 16777215.00, 25, 1726
11, 6699997.00, 6268291.00, 8398041.00, 5779663.00, 7898717.00, 16777215.00, 25, 1907
12, 6715432.00, 6279429.00, 8398200.00, 5760805.00, 7924786.00, 16777215.00, 25, 2180
13, 6725634.00, 6278439.00, 8397956.00, 5771323.00, 7941280.00, 16777215.00, 25, 2543
14, 6716454.00, 6259059.00, 8398037.00, 5773834.00, 7933911.00, 16777215.00, 25, 2815
15, 6723601.00, 6264373.00, 8397980.00, 5758077.00, 7930021.00, 16777215.00, 25, 3179
16, 6717902.00, 6251501.00, 8398077.00, 5735872.00, 7932814.00, 16777215.00, 25, 3451
17, 6709873.00, 6241566.00, 8397923.00, 5719547.00, 7933055.00, 16777215.00, 25, 3814
18, 6702546.00, 6236207.00, 8398066.00, 5712994.00, 7922283.00, 16777215.00, 25, 4178
19, 6701074.00, 6236587.00, 8397971.00, 5728197.00, 7949956.00, 16777215.00, 25, 4450
20, 6708485.00, 6241613.00, 8397953.00, 5713214.00, 7923367.00, 16777215.00, 25, 4722
21, 6707763.00, 6239716.00, 8398032.00, 5715584.00, 7924491.00, 16777215.00, 25, 5086
22, 6708443.00, 6239744.00, 8398019.00, 5716988.00, 7925371.00, 16777215.00, 25, 5267
23, 6709218.00, 6239366.00, 8398006.00, 5717121.00, 7928165.00, 16777215.00, 25, 5449
24, 6710509.00, 6239976.00, 8398032.00, 5716666.00, 7927415.00, 16777215.00, 25, 5721
25, 6710459.00, 6238525.00, 8397863.00, 5713847.00, 7930191.00, 16777215.00, 25, 5903
26, 6710456.00, 6237076.00, 8397925.00, 5712494.00, 7923486.00, 16777215.00, 25, 6084
