time,chan1,chan2,chan3
2019-10-11 13:04:25.967227,8565846.0,8389119.0,6976873.0
2019-10-11 13:04:26.062765,8565876.0,8388863.0,6976913.0
2019-10-11 13:04:26.150181,8565931.0,8389119.0,6976917.0
2019-10-11 13:04:26.245203,8565842.0,8388863.0,6976839.0
2019-10-11 13:04:26.341805,8565787.0,8388863.0,6976794.0
2019-10-11 13:04:26.435314,8565875.0,8389119.0,6976893.0
2019-10-11 13:04:26.527667,8565901.0,8389119.0,6976905.0
2019-10-11 13:04:26.621961,8565791.0,8388863.0,6976956.0
2019-10-11 13:04:26.714450,8565743.0,8389119.0,6976990.0
2019-10-11 13:04:26.806927,8565880.0,8389119.0,6977101.0
2019-10-11 13:04:26.900341,8565921.0,8389119.0,6977128.0
2019-10-11 13:04:26.994381,8565813.0,8389119.0,6977106.0
2019-10-11 13:04:27.089308,8565855.0,8389119.0,6977070.0
2019-10-11 13:04:27.184074,8565809.0,8389119.0,6977086.0
2019-10-11 13:04:27.276928,8565817.0,8389119.0,6976986.0
2019-10-11 13:04:27.370084,8565882.0,8389119.0,6977062.0
2019-10-11 13:04:27.462491,8565872.0,8388863.0,6977186.0
2019-10-11 13:04:27.555639,8565860.0,8388863.0,6977084.0
2019-10-11 13:04:27.650325,8565812.0,8389119.0,6977111.0
2019-10-11 13:04:27.745917,8565753.0,8389119.0,6977343.0
2019-10-11 13:04:27.838284,8565757.0,8388863.0,6977250.0
2019-10-11 13:04:27.930577,8565843.0,8389119.0,6977226.0
2019-10-11 13:04:28.022622,8565895.0,8389119.0,6977359.0
2019-10-11 13:04:28.116838,8565825.0,8389119.0,6977172.0
2019-10-11 13:04:28.212954,8565867.0,8389119.0,6977197.0
2019-10-11 13:04:28.305314,8565867.0,8389119.0,6977353.0
2019-10-11 13:04:28.399238,8565887.0,8389119.0,6977396.0
2019-10-11 13:04:28.487813,8565841.0,8389119.0,6977216.0
2019-10-11 13:04:28.583472,8565841.0,8389119.0,6977295.0
2019-10-11 13:04:28.678020,8565751.0,8389119.0,6977381.0
2019-10-11 13:04:28.774752,8565691.0,8389119.0,6977210.0
2019-10-11 13:04:28.866915,8565716.0,8389119.0,6977132.0
2019-10-11 13:04:28.962796,8565747.0,8388863.0,6977298.0
2019-10-11 13:04:29.050804,8565762.0,8388863.0,6977472.0
2019-10-11 13:04:29.147018,8565774.0,8389119.0,6977409.0
2019-10-11 13:04:29.239550,8565838.0,8389119.0,6977412.0
2019-10-11 13:04:29.334481,8565772.0,8389119.0,6977487.0
2019-10-11 13:04:29.429761,8565698.0,8388863.0,6977466.0
2019-10-11 13:04:29.524116,8565794.0,8389119.0,6977409.0
2019-10-11 13:04:29.615592,8565852.0,8389119.0,6977429.0
2019-10-11 13:04:29.708955,8565716.0,8388863.0,6977465.0
2019-10-11 13:04:29.800349,8565749.0,8389119.0,6977464.0
2019-10-11 13:04:29.894579,8565825.0,8388863.0,6977330.0
2019-10-11 13:04:29.991612,8565777.0,8389119.0,6977355.0
2019-10-11 13:04:30.083804,8565765.0,8388863.0,6977466.0
2019-10-11 13:04:30.176786,8565734.0,8388863.0,6977607.0
2019-10-11 13:04:30.270314,8565697.0,8389119.0,6977551.0
2019-10-11 13:04:30.362658,8565756.0,8389119.0,6977444.0
2019-10-11 13:04:30.456071,8565755.0,8389119.0,6977395.0
2019-10-11 13:04:30.549719,8565739.0,8389119.0,6977439.0
2019-10-11 13:04:30.644375,8565762.0,8388863.0,6977444.0
2019-10-11 13:04:30.738340,8565752.0,8389119.0,6977469.0
2019-10-11 13:04:30.831026,8565787.0,8389119.0,6977571.0
2019-10-11 13:04:30.922848,8565852.0,8388863.0,6977535.0
2019-10-11 13:04:31.016731,8565742.0,8389119.0,6977503.0
2019-10-11 13:04:31.113506,8565739.0,8388863.0,6977510.0
2019-10-11 13:04:31.205383,8565797.0,8388863.0,6977508.0
2019-10-11 13:04:31.299728,8565718.0,8389119.0,6977391.0
2019-10-11 13:04:31.389295,8565727.0,8389119.0,6977403.0
2019-10-11 13:04:31.485652,8565819.0,8389119.0,6977420.0
2019-10-11 13:04:31.577931,8565748.0,8389119.0,6977481.0
2019-10-11 13:04:31.672739,8565773.0,8389119.0,6977433.0
2019-10-11 13:04:31.766142,8565736.0,8389119.0,6977521.0
2019-10-11 13:04:31.859978,8565750.0,8389119.0,6977548.0
2019-10-11 13:04:31.955124,8565685.0,8389119.0,6977559.0
2019-10-11 13:04:32.046320,8565709.0,8388863.0,6977495.0
2019-10-11 13:04:32.139895,8565756.0,8389119.0,6977510.0
2019-10-11 13:04:32.233130,8565728.0,8389119.0,6977491.0
2019-10-11 13:04:32.326974,8565682.0,8389119.0,6977504.0
2019-10-11 13:04:32.422273,8565712.0,8389119.0,6977450.0
2019-10-11 13:04:32.515099,8565715.0,8389119.0,6977349.0
2019-10-11 13:04:32.606669,8565859.0,8389119.0,6977388.0
2019-10-11 13:04:32.699528,8565824.0,8388863.0,6977628.0
2019-10-11 13:04:32.796920,8565708.0,8389119.0,6977596.0
2019-10-11 13:04:32.888867,8565744.0,8389119.0,6977547.0
2019-10-11 13:04:32.981403,8565803.0,8388863.0,6977442.0
2019-10-11 13:04:33.075803,8565824.0,8389119.0,6977407.0
2019-10-11 13:04:33.169182,8565809.0,8389119.0,6977559.0
2019-10-11 13:04:33.263068,8565797.0,8388863.0,6977519.0
2019-10-11 13:04:33.356292,8565690.0,8388863.0,6977563.0
2019-10-11 13:04:33.452239,8565706.0,8389119.0,6977693.0
2019-10-11 13:04:33.545679,8565820.0,8389119.0,6977699.0
2019-10-11 13:04:33.638547,8565875.0,8388863.0,6977708.0
2019-10-11 13:04:33.729060,8565842.0,8389119.0,6977692.0
2019-10-11 13:04:33.824653,8565852.0,8389119.0,6977710.0
2019-10-11 13:04:33.916016,8565827.0,8389119.0,6977680.0
2019-10-11 13:04:34.011999,8565803.0,8389119.0,6977785.0
2019-10-11 13:04:34.104145,8565705.0,8389119.0,6977758.0
2019-10-11 13:04:34.201279,8565664.0,8389119.0,6977732.0
2019-10-11 13:04:34.295513,8565751.0,8389119.0,6977790.0
2019-10-11 13:04:34.386657,8565782.0,8389119.0,6977701.0
2019-10-11 13:04:34.479943,8565824.0,8388863.0,6977823.0
2019-10-11 13:04:34.571216,8565753.0,8389119.0,6977852.0
2019-10-11 13:04:34.666236,8565802.0,8389119.0,6977907.0
2019-10-11 13:04:34.759154,8565822.0,8389119.0,6977770.0
2019-10-11 13:04:34.855607,8565830.0,8388863.0,6977582.0
2019-10-11 13:04:34.945018,8565821.0,8389119.0,6977642.0
2019-10-11 13:04:35.039881,8565768.0,8389119.0,6977765.0
2019-10-11 13:04:35.133537,8565782.0,8388863.0,6977929.0
2019-10-11 13:04:35.227084,8565744.0,8389119.0,6977834.0
2019-10-11 13:04:35.322448,8565787.0,8389119.0,6977863.0
2019-10-11 13:04:35.415532,8565760.0,8388863.0,6977867.0
2019-10-11 13:04:35.505325,8565811.0,8389119.0,6977937.0
2019-10-11 13:04:35.599939,8565853.0,8388863.0,6977995.0
2019-10-11 13:04:35.697220,8565838.0,8388863.0,6977988.0
2019-10-11 13:04:35.790229,8565897.0,8389119.0,6977947.0
2019-10-11 13:04:35.882568,8565927.0,8389119.0,6978097.0
2019-10-11 13:04:35.979461,8565877.0,8389119.0,6978077.0
2019-10-11 13:04:36.066700,8565853.0,8389119.0,6978147.0
2019-10-11 13:04:36.163134,8565843.0,8389119.0,6978079.0
2019-10-11 13:04:36.254889,8565905.0,8389119.0,6977893.0
2019-10-11 13:04:36.349376,8565758.0,8389119.0,6977797.0
2019-10-11 13:04:36.443389,8565712.0,8389119.0,6977832.0
2019-10-11 13:04:36.537453,8565891.0,8389119.0,6977928.0
2019-10-11 13:04:36.634236,8566005.0,8388863.0,6977977.0
2019-10-11 13:04:36.722832,8566119.0,8389119.0,6977936.0
2019-10-11 13:04:36.818953,8566202.0,8388863.0,6977910.0
2019-10-11 13:04:36.913119,8566359.0,8389119.0,6977879.0
2019-10-11 13:04:37.004797,8566482.0,8389119.0,6977918.0
2019-10-11 13:04:37.099042,8566644.0,8388863.0,6977867.0
2019-10-11 13:04:37.192036,8566637.0,8389119.0,6977881.0
2019-10-11 13:04:37.283503,8566614.0,8389119.0,6978052.0
2019-10-11 13:04:37.377948,8566788.0,8389119.0,6978188.0
2019-10-11 13:04:37.472458,8567138.0,8388863.0,6978048.0
2019-10-11 13:04:37.565762,8567799.0,8389119.0,6977828.0
2019-10-11 13:04:37.662645,8569697.0,8389119.0,6977061.0
2019-10-11 13:04:37.754349,8570895.0,8389119.0,6976678.0
