Date: 20.2.2020 , In use by: Mena
Daytime: 12:11:3, Temperature: 26°C
ID, strain4A, strain4B, loadcell y, temp [°C], runtime [ms]
BASELINE Time: 12:11:27
19, 1858238.00, 8962463.00, 8492469.00,26, 1777
20, 1858316.00, 8962451.00, 8492304.00,26, 1881
21, 1858304.00, 8962373.00, 8492366.00,26, 1986
22, 1858283.00, 8962359.00, 8492469.00,26, 2090
23, 1858251.00, 8962370.00, 8492524.00,26, 2195
24, 1858228.00, 8962309.00, 8492558.00,26, 2299
25, 1858176.00, 8962192.00, 8492637.00,26, 2404
26, 1858122.00, 8962140.00, 8492524.00,26, 2508
27, 1858116.00, 8962180.00, 8492592.00,26, 2613
28, 1858126.00, 8962188.00, 8492402.00,26, 2717
29, 1858124.00, 8962082.00, 8492319.00,26, 2822
30, 1858132.00, 8962054.00, 8492431.00,26, 2926
31, 1858139.00, 8962083.00, 8492462.00,26, 3031
32, 1858139.00, 8962054.00, 8492443.00,26, 3135
33, 1858102.00, 8962028.00, 8492520.00,26, 3240
34, 1858064.00, 8961938.00, 8492343.00,26, 3344
35, 1858076.00, 8961969.00, 8492397.00,26, 3449
36, 1858096.00, 8961932.00, 8492230.00,26, 3553
37, 1858060.00, 8961830.00, 8492139.00,26, 3658
38, 1858057.00, 8961899.00, 8492461.00,26, 3762
39, 1858020.00, 8961888.00, 8492536.00,26, 3867
40, 1857986.00, 8961821.00, 8492560.00,26, 3971
41, 1857969.00, 8961901.00, 8492523.00,26, 4076
42, 1858025.00, 8961880.00, 8492391.00,26, 4180
43, 1858031.00, 8961918.00, 8492502.00,26, 4285
44, 1858022.00, 8961905.00, 8492459.00,26, 4389
45, 1858072.00, 8961905.00, 8492488.00,26, 4494
46, 1858064.00, 8961894.00, 8492444.00,26, 4598
47, 1857999.00, 8961842.00, 8492468.00,26, 4703
48, 1857945.00, 8961847.00, 8492490.00,26, 4807
49, 1857999.00, 8961824.00, 8492468.00,26, 4912
50, 1858037.00, 8961778.00, 8492477.00,26, 5016
51, 1858013.00, 8961786.00, 8492577.00,26, 5121
52, 1857978.00, 8961745.00, 8492756.00,26, 5225
53, 1858005.00, 8961748.00, 8492419.00,26, 5330
54, 1858008.00, 8961749.00, 8492514.00,26, 5434
55, 1858016.00, 8961774.00, 8492587.00,26, 5538
56, 1858026.00, 8961753.00, 8492716.00,26, 5643
57, 1857969.00, 8961643.00, 8492486.00,26, 5747
58, 1857938.00, 8961631.00, 8492279.00,26, 5852
59, 1857971.00, 8961685.00, 8492320.00,26, 5956
60, 1857976.00, 8961640.00, 8492256.00,26, 6061
61, 1857985.00, 8961594.00, 8492461.00,26, 6165
62, 1857937.00, 8961563.00, 8492573.00,26, 6270
63, 1857932.00, 8961591.00, 8492482.00,26, 6374
64, 1857961.00, 8961580.00, 8492334.00,26, 6479
65, 1858036.00, 8961521.00, 8492520.00,26, 6583
66, 1858057.00, 8961547.00, 8492568.00,26, 6688
67, 1857992.00, 8961472.00, 8492653.00,26, 6792
68, 1857911.00, 8961474.00, 8492696.00,26, 6897
69, 1857931.00, 8961521.00, 8492479.00,26, 7001
70, 1857992.00, 8961538.00, 8492578.00,26, 7106
71, 1857981.00, 8961393.00, 8492507.00,26, 7210
72, 1857989.00, 8961385.00, 8492451.00,26, 7315
73, 1857950.00, 8961344.00, 8492501.00,26, 7419
74, 1857934.00, 8961333.00, 8492383.00,26, 7524
75, 1857977.00, 8961335.00, 8492324.00,26, 7628
76, 1857991.00, 8961322.00, 8492498.00,26, 7733
77, 1857956.00, 8961366.00, 8492419.00,26, 7837
78, 1857965.00, 8961442.00, 8492280.00,26, 7942
79, 1857882.00, 8961422.00, 8492433.00,26, 8046
80, 1857901.00, 8961351.00, 8492707.00,26, 8151
81, 1857940.00, 8961356.00, 8492540.00,26, 8255
82, 1858004.00, 8961263.00, 8492558.00,26, 8360
83, 1857966.00, 8961242.00, 8492522.00,26, 8464
84, 1857944.00, 8961237.00, 8492470.00,26, 8569
