Date: 20.2.2020 , In use by: Mena
Daytime: 11:21:7, Temperature: 25°C
ID, strain4A, strain4B, loadcell x, temp [°C], runtime [ms]
BASELINE Time: 11:21:20
68, 1759479.00, 9707684.00, 8492880.00,25, 6902
69, 1759449.00, 9707653.00, 8492937.00,25, 7007
70, 1759392.00, 9707589.00, 8493002.00,25, 7112
71, 1759289.00, 9707522.00, 8492887.00,25, 7216
72, 1759214.00, 9707487.00, 8492875.00,25, 7321
73, 1759152.00, 9707369.00, 8493002.00,25, 7425
74, 1759165.00, 9707331.00, 8492987.00,25, 7530
75, 1759138.00, 9707287.00, 8492930.00,25, 7634
76, 1759084.00, 9707261.00, 8492972.00,25, 7739
77, 1758992.00, 9707183.00, 8492935.00,25, 7844
78, 1758910.00, 9707102.00, 8492934.00,25, 7948
79, 1758913.00, 9707070.00, 8492883.00,25, 8053
80, 1758892.00, 9707095.00, 8492899.00,25, 8157
81, 1758832.00, 9706968.00, 8492824.00,25, 8262
82, 1758755.00, 9706907.00, 8492733.00,25, 8367
83, 1758717.00, 9706860.00, 8492902.00,25, 8471
84, 1758651.00, 9706832.00, 8493027.00,25, 8576
85, 1758577.00, 9706807.00, 8492857.00,25, 8680
86, 1758512.00, 9706707.00, 8492596.00,25, 8785
87, 1758469.00, 9706591.00, 8492770.00,25, 8889
88, 1758419.00, 9706582.00, 8492638.00,25, 8994
89, 1758392.00, 9706396.00, 8492379.00,25, 9099
90, 1758361.00, 9706285.00, 8492025.00,25, 9203
91, 1758343.00, 9706287.00, 8491854.00,25, 9308
92, 1758254.00, 9706267.00, 8492286.00,25, 9412
93, 1758308.00, 9706177.00, 8491632.00,25, 9517
94, 1758382.00, 9706070.00, 8491286.00,25, 9622
95, 1758379.00, 9705986.00, 8491291.00,25, 9726
96, 1758312.00, 9705901.00, 8491828.00,25, 9831
97, 1758211.00, 9705759.00, 8492861.00,25, 9935
98, 1758452.00, 9705363.00, 8492109.00,25, 10040
99, 1758785.00, 9704991.00, 8490704.00,25, 10144
100, 1758849.00, 9704996.00, 8491054.00,25, 10249
101, 1759083.00, 9704690.00, 8491304.00,25, 10354
102, 1758855.00, 9704840.00, 8493568.00,25, 10458
103, 1758793.00, 9704832.00, 8493221.00,25, 10563
104, 1758607.00, 9704733.00, 8493396.00,25, 10667
105, 1758341.00, 9704947.00, 8494850.00,25, 10772
106, 1757846.00, 9705350.00, 8501625.00,25, 10877
107, 1757621.00, 9705414.00, 8501868.00,25, 10981
108, 1756918.00, 9705597.00, 8503990.00,25, 11086
109, 1748759.00, 9708934.00, 8510952.00,25, 11190
110, 1738937.00, 9719346.00, 8520511.00,25, 11295
111, 1737450.00, 9721263.00, 8520202.00,25, 11399
112, 1736588.00, 9721879.00, 8524328.00,25, 11504
113, 1735453.00, 9722979.00, 8529099.00,25, 11609
114, 1732383.00, 9725177.00, 8533098.00,25, 11713
115, 1727999.00, 9728248.00, 8536138.00,25, 11818
116, 1725109.00, 9730087.00, 8536907.00,25, 11922
117, 1724168.00, 9730640.00, 8536684.00,25, 12027
118, 1723701.00, 9730898.00, 8536658.00,25, 12132
119, 1723443.00, 9730981.00, 8536702.00,25, 12236
120, 1722952.00, 9730954.00, 8536652.00,25, 12341
121, 1722343.00, 9731229.00, 8536721.00,25, 12445
122, 1722010.00, 9731329.00, 8536742.00,25, 12550
123, 1721583.00, 9731374.00, 8536656.00,25, 12655
124, 1720710.00, 9731730.00, 8536658.00,25, 12759
125, 1719737.00, 9732187.00, 8536672.00,25, 12864
126, 1719070.00, 9732567.00, 8536699.00,25, 12968
127, 1718736.00, 9732728.00, 8536574.00,25, 13073
128, 1718391.00, 9732766.00, 8536612.00,25, 13177
129, 1718030.00, 9733159.00, 8536668.00,25, 13282
130, 1717812.00, 9733293.00, 8536664.00,25, 13387
131, 1717700.00, 9733335.00, 8536628.00,25, 13491
132, 1717587.00, 9733236.00, 8536663.00,25, 13596
133, 1717316.00, 9733427.00, 8536650.00,25, 13700
134, 1716996.00, 9733746.00, 8536710.00,25, 13805
135, 1716810.00, 9733743.00, 8536719.00,25, 13910
136, 1716722.00, 9733637.00, 8536628.00,25, 14014
137, 1716652.00, 9733594.00, 8536613.00,25, 14119
138, 1716601.00, 9733506.00, 8536700.00,25, 14223
139, 1716432.00, 9733490.00, 8536795.00,25, 14328
140, 1715941.00, 9733598.00, 8536733.00,25, 14432
141, 1715527.00, 9733683.00, 8536678.00,25, 14537
142, 1715086.00, 9733764.00, 8536701.00,25, 14642
143, 1714459.00, 9733908.00, 8536755.00,25, 14746
144, 1713982.00, 9734223.00, 8536732.00,25, 14851
145, 1713808.00, 9734211.00, 8536724.00,25, 14955
146, 1713768.00, 9734163.00, 8536725.00,25, 15060
147, 1713682.00, 9734119.00, 8536767.00,25, 15165
148, 1713616.00, 9734132.00, 8536755.00,25, 15269
149, 1713468.00, 9734194.00, 8536702.00,25, 15374
150, 1713283.00, 9734319.00, 8536756.00,25, 15478
151, 1713086.00, 9734495.00, 8536796.00,25, 15583
152, 1712870.00, 9734789.00, 8536709.00,25, 15688
153, 1712772.00, 9734812.00, 8536791.00,25, 15792
154, 1712687.00, 9734716.00, 8536799.00,25, 15897
155, 1712602.00, 9734571.00, 8536827.00,25, 16001
156, 1712550.00, 9734468.00, 8536716.00,25, 16106
157, 1712483.00, 9734342.00, 8536656.00,25, 16211
158, 1712168.00, 9734366.00, 8536668.00,25, 16315
159, 1711630.00, 9734568.00, 8536715.00,25, 16420
160, 1711211.00, 9734724.00, 8536608.00,25, 16524
161, 1710852.00, 9734795.00, 8536661.00,25, 16629
162, 1710541.00, 9734811.00, 8536705.00,25, 16734
163, 1710398.00, 9734800.00, 8536731.00,25, 16838
164, 1710345.00, 9734739.00, 8536716.00,25, 16943
165, 1710315.00, 9734710.00, 8536663.00,25, 17047
166, 1710236.00, 9734712.00, 8536690.00,25, 17152
167, 1710143.00, 9734848.00, 8536734.00,25, 17257
168, 1709986.00, 9735194.00, 8536802.00,25, 17361
169, 1709810.00, 9735212.00, 8536807.00,25, 17466
170, 1709720.00, 9735224.00, 8536675.00,25, 17570
171, 1709641.00, 9735262.00, 8536651.00,25, 17675
172, 1709641.00, 9735236.00, 8536602.00,25, 17779
173, 1709539.00, 9735078.00, 8536677.00,25, 17884
174, 1709480.00, 9734940.00, 8536618.00,25, 17989
175, 1709461.00, 9734847.00, 8536579.00,25, 18093
176, 1709199.00, 9734819.00, 8536759.00,25, 18198
177, 1708699.00, 9735009.00, 8536709.00,25, 18302
178, 1708309.00, 9735116.00, 8536684.00,25, 18407
179, 1708050.00, 9735165.00, 8536678.00,25, 18512
180, 1707816.00, 9735156.00, 8536731.00,25, 18616
181, 1707702.00, 9735162.00, 8536701.00,25, 18721
182, 1707630.00, 9735164.00, 8536614.00,25, 18825
183, 1707573.00, 9735118.00, 8536685.00,25, 18930
184, 1707509.00, 9735148.00, 8536685.00,25, 19035
185, 1707468.00, 9735179.00, 8536673.00,25, 19139
186, 1707364.00, 9735353.00, 8536680.00,25, 19244
187, 1707197.00, 9735475.00, 8536671.00,25, 19348
188, 1707093.00, 9735390.00, 8536645.00,25, 19453
189, 1707020.00, 9735372.00, 8536747.00,25, 19557
190, 1707016.00, 9735358.00, 8536813.00,25, 19662
191, 1707022.00, 9735242.00, 8536739.00,25, 19767
192, 1707003.00, 9735085.00, 8536695.00,25, 19871
193, 1706944.00, 9734965.00, 8536572.00,25, 19976
194, 1706736.00, 9734917.00, 8536595.00,25, 20080
195, 1706376.00, 9735054.00, 8536648.00,25, 20185
196, 1706046.00, 9735145.00, 8536686.00,25, 20290
197, 1705795.00, 9735223.00, 8536709.00,25, 20394
198, 1705684.00, 9735215.00, 8536724.00,25, 20499
199, 1705571.00, 9735182.00, 8536717.00,25, 20603
200, 1705497.00, 9735175.00, 8536746.00,25, 20708
201, 1705393.00, 9735167.00, 8536704.00,25, 20813
202, 1705405.00, 9735215.00, 8536708.00,25, 20917
203, 1705411.00, 9735244.00, 8536824.00,25, 21022
204, 1705289.00, 9735293.00, 8536821.00,25, 21126
205, 1705105.00, 9735423.00, 8536983.00,25, 21231
206, 1705045.00, 9735400.00, 8537149.00,25, 21336
207, 1704971.00, 9735256.00, 8537295.00,25, 21440
208, 1704725.00, 9735506.00, 8537718.00,25, 21545
209, 1704580.00, 9735506.00, 8538212.00,25, 21649
210, 1704604.00, 9735211.00, 8537783.00,25, 21754
211, 1704613.00, 9735076.00, 8536743.00,25, 21859
212, 1704601.00, 9735020.00, 8535997.00,25, 21963
213, 1704735.00, 9735042.00, 8535365.00,25, 22068
214, 1704464.00, 9734517.00, 8535167.00,25, 22172
215, 1702388.00, 9735497.00, 8539134.00,25, 22277
216, 1701786.00, 9736584.00, 8537323.00,25, 22382
217, 1700297.00, 9737886.00, 8535716.00,25, 22486
