Date: 28.2.2020 , In use by: Mena
Daytime: 15:5:57, Temperature: 13°C
ID, strain1, strain2, strain3, temp [°C], runtime [ms]
BASELINE Time: 15:6:2
80, 0.00, 0.00, 8913357.00, 13, 8094
81, 0.00, 0.00, 8913646.00, 13, 8198
82, 0.00, 0.00, 8913815.00, 13, 8302
83, 0.00, 0.00, 8913895.00, 13, 8405
84, 0.00, 0.00, 8914024.00, 13, 8509
85, 0.00, 0.00, 8914136.00, 13, 8613
86, 0.00, 0.00, 8914085.00, 13, 8717
87, 0.00, 0.00, 8914089.00, 13, 8820
88, 0.00, 0.00, 8914075.00, 13, 8924
89, 0.00, 0.00, 8913993.00, 13, 9028
90, 0.00, 0.00, 8913851.00, 13, 9132
91, 0.00, 0.00, 8913712.00, 13, 9236
92, 0.00, 0.00, 8913666.00, 13, 9339
93, 0.00, 0.00, 8914374.00, 13, 9443
94, 0.00, 0.00, 8915624.00, 13, 9547
95, 0.00, 0.00, 8917605.00, 13, 9651
96, 0.00, 0.00, 8918279.00, 13, 9754
97, 0.00, 0.00, 8918711.00, 13, 9858
98, 0.00, 0.00, 8918807.00, 13, 9962
99, 0.00, 0.00, 8918361.00, 13, 10066
100, 0.00, 0.00, 8917666.00, 13, 10169
101, 0.00, 0.00, 8916674.00, 13, 10273
102, 0.00, 0.00, 8915422.00, 13, 10377
103, 0.00, 0.00, 8913852.00, 13, 10481
104, 0.00, 0.00, 8912219.00, 13, 10584
105, 0.00, 0.00, 8910545.00, 13, 10688
106, 0.00, 0.00, 8908663.00, 13, 10792
107, 0.00, 0.00, 8904139.00, 13, 10896
108, 0.00, 0.00, 8901284.00, 13, 11000
109, 0.00, 0.00, 8897877.00, 13, 11103
110, 0.00, 0.00, 8894312.00, 13, 11207
111, 0.00, 0.00, 8891078.00, 13, 11311
112, 0.00, 0.00, 8888015.00, 13, 11415
113, 0.00, 0.00, 8885086.00, 13, 11518
114, 0.00, 0.00, 8882113.00, 13, 11622
115, 0.00, 0.00, 8879052.00, 13, 11726
116, 0.00, 0.00, 8875957.00, 13, 11830
117, 0.00, 0.00, 8872821.00, 13, 11933
118, 0.00, 0.00, 8869675.00, 13, 12037
119, 0.00, 0.00, 8863342.00, 13, 12141
120, 0.00, 0.00, 8860168.00, 13, 12245
121, 0.00, 0.00, 8856940.00, 13, 12348
122, 0.00, 0.00, 8853800.00, 13, 12452
123, 0.00, 0.00, 8850756.00, 13, 12556
124, 0.00, 0.00, 8847775.00, 13, 12660
125, 0.00, 0.00, 8844702.00, 13, 12764
126, 0.00, 0.00, 8841613.00, 13, 12867
127, 0.00, 0.00, 8838557.00, 13, 12971
128, 0.00, 0.00, 8835548.00, 13, 13075
129, 0.00, 0.00, 8832481.00, 13, 13179
130, 0.00, 0.00, 8826467.00, 13, 13282
131, 0.00, 0.00, 8823433.00, 13, 13386
132, 0.00, 0.00, 8820304.00, 13, 13490
133, 0.00, 0.00, 8817226.00, 13, 13594
134, 0.00, 0.00, 8814084.00, 13, 13697
135, 0.00, 0.00, 8810995.00, 13, 13801
136, 0.00, 0.00, 8807882.00, 13, 13905
137, 0.00, 0.00, 8804707.00, 13, 14009
138, 0.00, 0.00, 8801458.00, 13, 14113
139, 0.00, 0.00, 8798259.00, 13, 14216
140, 0.00, 0.00, 8795028.00, 13, 14320
141, 0.00, 0.00, 8791884.00, 13, 14424
142, 0.00, 0.00, 8785597.00, 13, 14528
143, 0.00, 0.00, 8782504.00, 13, 14631
144, 0.00, 0.00, 8779425.00, 13, 14735
145, 0.00, 0.00, 8776308.00, 13, 14839
146, 0.00, 0.00, 8773158.00, 13, 14943
147, 0.00, 0.00, 8770074.00, 13, 15047
148, 0.00, 0.00, 8766817.00, 13, 15150
149, 0.00, 0.00, 8763644.00, 13, 15254
150, 0.00, 0.00, 8760604.00, 13, 15358
151, 0.00, 0.00, 8757441.00, 13, 15462
152, 0.00, 0.00, 8754270.00, 13, 15565
153, 0.00, 0.00, 8750973.00, 13, 15669
154, 0.00, 0.00, 8744463.00, 13, 15773
155, 0.00, 0.00, 8741232.00, 13, 15877
156, 0.00, 0.00, 8737964.00, 13, 15980
157, 0.00, 0.00, 8734721.00, 13, 16084
158, 0.00, 0.00, 8731364.00, 13, 16188
159, 0.00, 0.00, 8728145.00, 13, 16292
160, 0.00, 0.00, 8724791.00, 13, 16395
161, 0.00, 0.00, 8721482.00, 13, 16499
162, 0.00, 0.00, 8718189.00, 13, 16603
163, 0.00, 0.00, 8714880.00, 13, 16707
164, 0.00, 0.00, 8711662.00, 13, 16810
165, 0.00, 0.00, 8705303.00, 13, 16914
166, 0.00, 0.00, 8702149.00, 13, 17018
167, 0.00, 0.00, 8699069.00, 13, 17122
168, 0.00, 0.00, 8695905.00, 13, 17226
169, 0.00, 0.00, 8692783.00, 13, 17329
170, 0.00, 0.00, 8689677.00, 13, 17433
171, 0.00, 0.00, 8686678.00, 13, 17537
172, 0.00, 0.00, 8683724.00, 13, 17641
173, 0.00, 0.00, 8680772.00, 13, 17744
174, 0.00, 0.00, 8677800.00, 13, 17848
175, 0.00, 0.00, 8674896.00, 13, 17952
176, 0.00, 0.00, 8672033.00, 13, 18056
177, 0.00, 0.00, 8666524.00, 13, 18159
178, 0.00, 0.00, 8663796.00, 13, 18263
179, 0.00, 0.00, 8661104.00, 13, 18367
180, 0.00, 0.00, 8658481.00, 13, 18471
181, 0.00, 0.00, 8655874.00, 13, 18574
182, 0.00, 0.00, 8653273.00, 13, 18678
183, 0.00, 0.00, 8650805.00, 13, 18782
184, 0.00, 0.00, 8648470.00, 13, 18886
185, 0.00, 0.00, 8646091.00, 13, 18989
186, 0.00, 0.00, 8643582.00, 13, 19093
187, 0.00, 0.00, 8641025.00, 13, 19197
188, 0.00, 0.00, 8638387.00, 13, 19301
189, 0.00, 0.00, 8633214.00, 13, 19405
190, 0.00, 0.00, 8630628.00, 13, 19508
191, 0.00, 0.00, 8628047.00, 13, 19612
192, 0.00, 0.00, 8625525.00, 13, 19716
193, 0.00, 0.00, 8622902.00, 13, 19820
194, 0.00, 0.00, 8620301.00, 13, 19923
195, 0.00, 0.00, 8617842.00, 13, 20027
196, 0.00, 0.00, 8615399.00, 13, 20131
197, 0.00, 0.00, 8612847.00, 13, 20235
198, 0.00, 0.00, 8610253.00, 13, 20338
199, 0.00, 0.00, 8607598.00, 13, 20442
200, 0.00, 0.00, 8602385.00, 13, 20546
201, 0.00, 0.00, 8599776.00, 13, 20650
202, 0.00, 0.00, 8597261.00, 13, 20753
203, 0.00, 0.00, 8594615.00, 13, 20857
204, 0.00, 0.00, 8591897.00, 13, 20961
205, 0.00, 0.00, 8589180.00, 13, 21065
206, 0.00, 0.00, 8586463.00, 13, 21168
207, 0.00, 0.00, 8583826.00, 13, 21272
208, 0.00, 0.00, 8581094.00, 13, 21376
209, 0.00, 0.00, 8578308.00, 13, 21480
210, 0.00, 0.00, 8575638.00, 13, 21584
211, 0.00, 0.00, 8573111.00, 13, 21687
212, 0.00, 0.00, 8567759.00, 13, 21791
213, 0.00, 0.00, 8564984.00, 13, 21895
214, 0.00, 0.00, 8562227.00, 13, 21999
215, 0.00, 0.00, 8559347.00, 13, 22102
216, 0.00, 0.00, 8556507.00, 13, 22206
217, 0.00, 0.00, 8553742.00, 13, 22310
218, 0.00, 0.00, 8550947.00, 13, 22414
219, 0.00, 0.00, 8548013.00, 13, 22517
220, 0.00, 0.00, 8545190.00, 13, 22621
221, 0.00, 0.00, 8542398.00, 13, 22725
222, 0.00, 0.00, 8539651.00, 13, 22829
223, 0.00, 0.00, 8536822.00, 13, 22932
224, 0.00, 0.00, 8531125.00, 13, 23036
225, 0.00, 0.00, 8528355.00, 13, 23140
226, 0.00, 0.00, 8525473.00, 13, 23244
227, 0.00, 0.00, 8522663.00, 13, 23348
228, 0.00, 0.00, 8519896.00, 13, 23451
229, 0.00, 0.00, 8517089.00, 13, 23555
230, 0.00, 0.00, 8514103.00, 13, 23659
231, 0.00, 0.00, 8511180.00, 13, 23763
232, 0.00, 0.00, 8508363.00, 13, 23866
233, 0.00, 0.00, 8505452.00, 13, 23970
234, 0.00, 0.00, 8502645.00, 13, 24074
235, 0.00, 0.00, 8496942.00, 13, 24178
236, 0.00, 0.00, 8493996.00, 13, 24281
237, 0.00, 0.00, 8491063.00, 13, 24385
238, 0.00, 0.00, 8488214.00, 13, 24489
239, 0.00, 0.00, 8485434.00, 13, 24593
240, 0.00, 0.00, 8482748.00, 13, 24697
241, 0.00, 0.00, 8480085.00, 13, 24800
242, 0.00, 0.00, 8477436.00, 13, 24904
243, 0.00, 0.00, 8474745.00, 13, 25008
244, 0.00, 0.00, 8472057.00, 13, 25112
245, 0.00, 0.00, 8469459.00, 13, 25215
246, 0.00, 0.00, 8466897.00, 13, 25319
247, 0.00, 0.00, 8461459.00, 13, 25423
248, 0.00, 0.00, 8458942.00, 13, 25527
249, 0.00, 0.00, 8456485.00, 13, 25630
250, 0.00, 0.00, 8454308.00, 13, 25734
251, 0.00, 0.00, 8452353.00, 13, 25838
252, 0.00, 0.00, 8450252.00, 13, 25942
253, 0.00, 0.00, 8448123.00, 13, 26045
254, 0.00, 0.00, 8445990.00, 13, 26149
255, 0.00, 0.00, 8443778.00, 13, 26253
256, 0.00, 0.00, 8441697.00, 13, 26357
257, 0.00, 0.00, 8439561.00, 13, 26461
258, 0.00, 0.00, 8437509.00, 13, 26564
259, 0.00, 0.00, 8433649.00, 13, 26668
260, 0.00, 0.00, 8431805.00, 13, 26772
261, 0.00, 0.00, 8430103.00, 13, 26876
262, 0.00, 0.00, 8428406.00, 13, 26979
263, 0.00, 0.00, 8426639.00, 13, 27083
264, 0.00, 0.00, 8424986.00, 13, 27187
265, 0.00, 0.00, 8423427.00, 13, 27291
266, 0.00, 0.00, 8421836.00, 13, 27394
267, 0.00, 0.00, 8420296.00, 13, 27498
268, 0.00, 0.00, 8418778.00, 13, 27602
269, 0.00, 0.00, 8417276.00, 13, 27706
270, 0.00, 0.00, 8414475.00, 13, 27809
271, 0.00, 0.00, 8413083.00, 13, 27913
272, 0.00, 0.00, 8411693.00, 13, 28017
273, 0.00, 0.00, 8410277.00, 13, 28121
274, 0.00, 0.00, 8409039.00, 13, 28225
275, 0.00, 0.00, 8407775.00, 13, 28328
276, 0.00, 0.00, 8406566.00, 13, 28432
277, 0.00, 0.00, 8405477.00, 13, 28536
278, 0.00, 0.00, 8404334.00, 13, 28640
279, 0.00, 0.00, 8403175.00, 13, 28743
280, 0.00, 0.00, 8402151.00, 13, 28847
281, 0.00, 0.00, 8401131.00, 13, 28951
282, 0.00, 0.00, 8398853.00, 13, 29055
283, 0.00, 0.00, 8397855.00, 13, 29158
284, 0.00, 0.00, 8396955.00, 13, 29262
285, 0.00, 0.00, 8396128.00, 13, 29366
286, 0.00, 0.00, 8395295.00, 13, 29470
287, 0.00, 0.00, 8394449.00, 13, 29573
288, 0.00, 0.00, 8393732.00, 13, 29677
289, 0.00, 0.00, 8393100.00, 13, 29781
290, 0.00, 0.00, 8392400.00, 13, 29885
291, 0.00, 0.00, 8391662.00, 13, 29988
292, 0.00, 0.00, 8390963.00, 13, 30092
293, 0.00, 0.00, 8390332.00, 13, 30196
294, 0.00, 0.00, 8389012.00, 13, 30300
295, 0.00, 0.00, 8388312.00, 13, 30403
296, 0.00, 0.00, 8387532.00, 13, 30507
297, 0.00, 0.00, 8386739.00, 13, 30611
298, 0.00, 0.00, 8386064.00, 13, 30715
299, 0.00, 0.00, 8385437.00, 13, 30819
300, 0.00, 0.00, 8384789.00, 13, 30922
301, 0.00, 0.00, 8384164.00, 13, 31026
302, 0.00, 0.00, 8383639.00, 13, 31130
303, 0.00, 0.00, 8383132.00, 13, 31234
304, 0.00, 0.00, 8382630.00, 13, 31337
305, 0.00, 0.00, 8381680.00, 13, 31441
306, 0.00, 0.00, 8381172.00, 13, 31545
307, 0.00, 0.00, 8380878.00, 13, 31649
308, 0.00, 0.00, 8382021.00, 13, 31752
309, 0.00, 0.00, 8384351.00, 13, 31856
310, 0.00, 0.00, 8386954.00, 13, 31960
311, 0.00, 0.00, 8389719.00, 13, 32064
312, 0.00, 0.00, 8392639.00, 13, 32167
313, 0.00, 0.00, 8395567.00, 13, 32271
314, 0.00, 0.00, 8398610.00, 13, 32375
315, 0.00, 0.00, 8401667.00, 13, 32479
316, 0.00, 0.00, 8404561.00, 13, 32582
317, 0.00, 0.00, 8410661.00, 13, 32686
318, 0.00, 0.00, 8413818.00, 13, 32790
319, 0.00, 0.00, 8416874.00, 13, 32894
320, 0.00, 0.00, 8419900.00, 13, 32997
321, 0.00, 0.00, 8423062.00, 13, 33101
322, 0.00, 0.00, 8426071.00, 13, 33205
323, 0.00, 0.00, 8428896.00, 13, 33309
324, 0.00, 0.00, 8431587.00, 13, 33412
325, 0.00, 0.00, 8434089.00, 13, 33516
326, 0.00, 0.00, 8436351.00, 13, 33620
327, 0.00, 0.00, 8438514.00, 13, 33724
