Date: 28.2.2020 , In use by: Mena
Daytime: 15:29:51, Temperature: 20°C
ID, strain1, strain2, strain3, temp [°C], runtime [ms]
BASELINE Time: 15:29:52
41, 0.00, 5766572.00, 7364525.00, 19, 4036
42, 0.00, 5766743.00, 7364519.00, 19, 4139
43, 0.00, 5766753.00, 7364553.00, 19, 4243
44, 0.00, 5766760.00, 7364574.00, 19, 4346
45, 0.00, 5766781.00, 7364593.00, 19, 4450
46, 0.00, 5766790.00, 7364681.00, 19, 4553
47, 0.00, 5767045.00, 7364722.00, 19, 4657
48, 0.00, 5766589.00, 7366051.00, 19, 4760
49, 0.00, 5765517.00, 7366778.00, 19, 4864
50, 0.00, 5765649.00, 7367033.00, 19, 4967
51, 0.00, 5766189.00, 7366747.00, 19, 5071
52, 0.00, 5766397.00, 7366658.00, 19, 5174
53, 0.00, 5766421.00, 7366873.00, 19, 5277
54, 0.00, 5766431.00, 7367042.00, 19, 5381
55, 0.00, 5766500.00, 7367179.00, 19, 5484
56, 0.00, 5766634.00, 7367164.00, 19, 5588
57, 0.00, 5766735.00, 7367159.00, 19, 5691
58, 0.00, 5766841.00, 7367448.00, 19, 5795
59, 0.00, 5766937.00, 7367634.00, 19, 5898
60, 0.00, 5766902.00, 7367609.00, 19, 6002
61, 0.00, 5766934.00, 7367476.00, 19, 6105
62, 0.00, 5767013.00, 7367346.00, 19, 6209
63, 0.00, 5767045.00, 7367315.00, 18, 6312
64, 0.00, 5767114.00, 7367338.00, 18, 6416
65, 0.00, 5767156.00, 7367381.00, 18, 6519
66, 0.00, 5767227.00, 7367501.00, 18, 6623
67, 0.00, 5767287.00, 7367592.00, 18, 6726
68, 0.00, 5767305.00, 7367611.00, 18, 6830
69, 0.00, 5767341.00, 7367619.00, 18, 6933
70, 0.00, 5767357.00, 7367669.00, 18, 7037
71, 0.00, 5767395.00, 7367731.00, 18, 7140
72, 0.00, 5767447.00, 7367794.00, 18, 7244
73, 0.00, 5767445.00, 7367942.00, 18, 7347
74, 0.00, 5767443.00, 7367909.00, 18, 7451
75, 0.00, 5767534.00, 7367952.00, 18, 7554
76, 0.00, 5767570.00, 7367926.00, 18, 7658
77, 0.00, 5767588.00, 7367881.00, 18, 7761
78, 0.00, 5767649.00, 7367959.00, 18, 7865
